序号,英文名称,节目名称,类型,声道,节目时长,年代,国家,看过人数,想看人数,在看人数,评分人数,豆瓣url,年代,原名,短评数量,评分,影评数量,豆瓣名称
699,Scooby-Doo! Mask of the Blue Falcon,史酷比：蓝猎鹰面具,动画,环绕声，多声道,1:16:24,2012,美国,6,3,None,4,http://movie.douban.com/subject/21938715/,2012,Scooby-Doo! Mask of the Blue Falcon,0,0,0,史酷比:蓝猎鹰面具
700,Big Top Scooby-Doo!,史酷比：最高危机,动画,环绕声，多声道,1:20:11,2012,美国,3,1,None,3,http://movie.douban.com/subject/25775578/,2012,Big Top Scooby-Doo!,0,0,0,史酷比之最高危机
701,Scooby-Doo and the Cyber Chase,史酷比鬼屋历险,动画,立体声,1:09:16,2005,美国,,,,,,2005,,,,,
702,Scooby-Doo and the Monster of Mexico,史酷比与墨西哥妖怪,动画,立体声,1:15:07,2003,美国,0,1,None,0,http://movie.douban.com/subject/5236727/,2003,Scooby-Doo! and the Monster of Mexico,0,0,0,Scooby-Doo! and the Monster of Mexico
703,"10,000 BC",史前一万年,科幻,,2:00:00,2008,美国,37736,2786,None,27504,http://movie.douban.com/subject/1949761/,2008,"10,000 BC",4151,5.6,338,史前一万年
704,DOOMSDAY,世界末日,科幻,环绕声，多声道,1:42:06,2013,美国,27319,12897,None,23411,http://movie.douban.com/subject/3104798/,2013,This is the End,10794,6.9,37,世界末日
705,World Trade Center,世贸中心,剧情,,2:00:00,2006,美国,18711,2077,None,13614,http://movie.douban.com/subject/1478063/,2006,World Trade Center,1851,6.4,135,世贸中心
706,The Roommate,室友,惊悚,立体声,1:28:19,2011,美国,12624,3785,None,9782,http://movie.douban.com/subject/3155971/,2011,The Roommate,3835,5.7,49,室友
707,The Vow,誓约,爱情,环绕声，多声道,1:39:27,2012,美国,19169,7514,None,15110,http://movie.douban.com/subject/5036969/,2012,The Vow,6341,6.8,97,誓约
708,Watchmen,守望者,科幻,,2:00:00,2009,美国,48928,12663,None,40431,http://movie.douban.com/subject/1972698/,2009,Watchmen,10894,7.5,385,守望者
709,Atonement,赎罪,剧情,立体声,1:57:36,2007,美国,129019,30663,None,95726,http://movie.douban.com/subject/1950148/,2007,Atonement,21453,7.9,1120,赎罪
710,Duplex,双层公寓,喜剧,,2:00:00,2003,美国/德国,6684,1242,None,4904,http://movie.douban.com/subject/1307046/,2003,Duplex,882,6.6,35,双层公寓
711,The Mirror Has Two Faces,双面镜,剧情,立体声,2:06:20,1996,美国,820,1861,None,621,http://movie.douban.com/subject/1299655/,1996,The Mirror Has Two Faces,164,7.8,9,双面镜
712,DOUBLE VISION (2002),双瞳,惊悚,立体声,1:45:59,2002,美国,29377,5117,None,21442,http://movie.douban.com/subject/1305046/,2002,双瞳,4775,6.9,80,双瞳
713,Who Framed Roger Rabbit,谁陷害了兔子罗杰,动画,,2:00:00,1988,美国,11559,3091,None,8059,http://movie.douban.com/subject/1297317/,1988,Who Framed Roger Rabbit,1083,7.5,10,谁陷害了兔子罗杰
714,Lady in the Water,水中女妖,惊悚,,2:00:00,2006,美国,5268,1205,None,3863,http://movie.douban.com/subject/1441473/,2006,Lady in the Water,687,5.4,34,水中女妖
715,The Life Aquatic with Steve Zissou,水中生活,剧情,,2:00:00,2004,美国,4181,7962,None,3110,http://movie.douban.com/subject/1308976/,2004,The Life Aquatic with Steve Zissou,1014,7.9,17,水中生活
716,Bedtime Stories,睡前故事,奇幻,,2:00:00,2008,美国,13867,2731,None,10952,http://movie.douban.com/subject/2042973/,2008,Bedtime Stories,1907,6.3,46,睡前故事
717,IT'S KIND OF A FUNNY STORY,说来有点可笑,喜剧,环绕声，多声道,1:36:07,2010,美国,17274,12090,None,13863,http://movie.douban.com/subject/3269018/,2010,It's Kind of a Funny Story,5264,7.6,82,说来有点可笑
718,300,斯巴达300勇士,动作,,2:00:00,2006,美国,87097,7117,None,64464,http://movie.douban.com/subject/1853176/,2006,300,10283,7.5,331,斯巴达300勇士
719,DEAD SILENCE,死寂,恐怖,立体声,1:25:25,2007,美国,74346,13117,None,57535,http://movie.douban.com/subject/1895120/,2007,Dead Silence,16693,7.2,164,死寂
720,Final Destination 5,死神来了5,惊悚,环绕声，多声道,1:27:40,2011,美国,63114,11502,None,48370,http://movie.douban.com/subject/4724373/,2011,Final Destination 5,17144,6.3,195,死神来了5
721,DEATH RACE ('08),死亡飞车,动作,立体声,1:39:51,2008,美国,48776,3718,None,37287,http://movie.douban.com/subject/2132412/,2008,Death Race,5860,7.1,105,死亡飞车
722,Dead Poets Society,死亡诗社,剧情,,2:00:00,1989,美国,213019,65137,None,158840,http://movie.douban.com/subject/1291548/,1989,Dead Poets Society,37332,8.8,1562,死亡诗社
723,ANGEL OF DEATH,死亡天使,动作,立体声,1:17:42,2009,美国,376,79,None,305,http://movie.douban.com/subject/3886698/,2009,Angel of Death,73,4.8,3,死亡天使
724,The 40 Year-Old Virgin,四十岁老处男,喜剧,环绕声，多声道,1:50:21,2005,美国,17464,3471,None,13130,http://movie.douban.com/subject/1419935/,2005,The 40 Year-Old Virgin,1973,6.6,46,四十岁的老处男
725,Four Christmases,四喜临门,喜剧,,2:00:00,2008,美国/德国,4397,2036,None,3435,http://movie.douban.com/subject/2009341/,2008,Four Christmases,692,5.9,10,四喜临门
726,The Fast and the Furious,速度与激情,动作,环绕声，多声道,1:42:27,2001,美国,63775,3482,None,47594,http://movie.douban.com/subject/1304899/,2001,The Fast and the Furious,7416,7.5,37,速度与激情
727,FAST AND THE FURIOUS: Tokyo Drift,速度与激情3,动作,环绕声，多声道,1:39:48,2006,美国,51970,2292,None,38837,http://movie.douban.com/subject/1652618/,2006,The Fast and the Furious: Tokyo Drift,7314,6.4,78,速度与激情3：东京漂移
728,FAST & FURIOUS,速度与激情4,动作,环绕声，多声道,1:36:50,2009,美国,58831,3134,None,44683,http://movie.douban.com/subject/2132930/,2009,Fast & Furious,6584,7.3,113,速度与激情4
729,FAST FIVE,速度与激情5,动作,环绕声，多声道,2:04:57,2011,美国,186497,25386,None,145853,http://movie.douban.com/subject/4286017/,2011,Fast Five,47505,8.3,531,速度与激情5
730,JUST GO WITH IT,随波逐流,爱情,立体声,1:51:22,2011,美国,49502,13141,None,39039,http://movie.douban.com/subject/4196227/,2011,Just Go with It,12866,7.1,103,随波逐流
731,TEARS OF THE SUN,太阳泪,战争,环绕声，多声道,1:55:58,2003,美国,23817,2591,None,17433,http://movie.douban.com/subject/1307463/,2003,Tears of the Sun,2771,6.9,79,太阳泪
732,Cirque du Soleil: Worlds Away,太阳马戏团：遥远的世界,奇幻,,2:00:00,2012,美国,3366,4249,None,2771,http://movie.douban.com/subject/7065120/,2012,Cirque du Soleil: Worlds Away,1351,8.1,15,太阳马戏团：遥远的世界
733,ted,泰迪熊,喜剧,环绕声，多声道,1:40:12,2012,美国,171701,48428,None,138542,http://movie.douban.com/subject/4807924/,2012,Ted,55178,7,461,泰迪熊
734,The Island,逃出克隆岛,科幻,立体声,2:10:20,2005,美国,57606,4027,None,43471,http://movie.douban.com/subject/1395776/,2005,The Island,6498,6.8,151,逃出克隆岛
735,Argo,逃离德黑兰,剧情,立体声,2:00:17,2012,美国,134766,48002,None,112955,http://movie.douban.com/subject/6549903/,2012,Argo,45408,8.3,451,逃离德黑兰
736,Fool's Gold,淘金俏冤家,爱情,,2:00:00,2008,美国,4941,543,None,3619,http://movie.douban.com/subject/1920730/,2008,Fool's Gold,574,5.6,27,淘金俏冤家
737,Extremely Loud & Incredibly Close,特别响，非常近,剧情,环绕声，多声道,2:09:25,2011,美国,22407,22640,None,18177,http://movie.douban.com/subject/3078514/,2011,Extremely Loud and Incredibly Close,8073,7.3,170,特别响，非常近
738,Miss Congeniality 2: Armed and Fabulous,特工佳丽2,罪案,,2:00:00,2005,美国/澳大利亚,9534,574,None,6891,http://movie.douban.com/subject/1309028/,2005,Miss Congeniality 2: Armed and Fabulous,721,6,7,特工佳丽2：武力巾帼
739,SALT,特工绍特,动作,立体声,1:36:53,2010,美国,112153,10595,None,87572,http://movie.douban.com/subject/2153526/,2010,Salt,24698,7.1,347,特工绍特
740,Judge Dredd,特警判官,科幻,,2:00:00,1995,英国/美国,5709,480,None,4263,http://movie.douban.com/subject/1296628/,1995,Judge Dredd,571,6.3,7,特警判官
741,The Express,特快达阵,剧情,环绕声，多声道,2:04:07,2008,美国,1009,643,None,818,http://movie.douban.com/subject/2135821/,2008,The Express,147,7.7,8,生命快车
742,Troy,特洛伊,动作,立体声,2:36:03,2004,美国,123408,6025,None,70204,http://movie.douban.com/subject/1308751/,2004,Troy,9340,7.1,223,特洛伊
743,The Good Shepherd,特务风云,剧情,环绕声，多声道,2:39:52,2006,美国,9704,4168,None,7213,http://movie.douban.com/subject/1477206/,2006,The Good Shepherd,1683,7.1,88,特务风云
744,G.I. Joe: The Rise of Cobra,特种部队：眼镜蛇的崛起,动作,,2:00:00,2009,美国,116132,10271,None,92907,http://movie.douban.com/subject/2223596/,2009,G.I. Joe: The Rise of Cobra,21006,7.1,354,特种部队：眼镜蛇的崛起
745,G.I. Joe: Retaliation,特种部队2:全面反击,动作,,2:00:00,2013,美国,58328,12222,None,49476,http://movie.douban.com/subject/4301181/,2013,G.I. Joe: Retaliation,21325,6.4,210,特种部队2：全面反击
746,Body Heat,体热,剧情,立体声,1:48:07,1981,美国,1771,2353,None,1330,http://movie.douban.com/subject/1296501/,1981,Body Heat,433,7.4,11,体热
747,The Replacement Killers,替身杀手,动作,立体声,1:23:53,1998,美国,3250,191,None,2250,http://movie.douban.com/subject/1293227/,1998,The Replacement Killers,300,5.5,4,替身杀手
748,DANTE'S PEAK,天崩地裂,剧情,环绕声，多声道,1:43:50,1997,美国,4977,478,None,3810,http://movie.douban.com/subject/1292590/,1997,Dante's Peak,578,6.6,6,天崩地裂
749,FLASH OF GENIUS,天才闪光,剧情,环绕声，多声道,1:54:11,2008,美国,626,976,None,480,http://movie.douban.com/subject/2255438/,2008,Flash of Genius,150,7.4,11,天才闪光
750,The Royal Tenenbaums,天才一族,喜剧,,2:00:00,2001,美国,9520,13600,None,7486,http://movie.douban.com/subject/1306031/,2001,The Royal Tenenbaums,2442,8,38,天才一族
751,The Natural,天赋,剧情,立体声,2:18:04,2010,美国,4003,9540,None,2911,http://movie.douban.com/subject/4319017/,2010,Exit Through the Gift Shop,1176,8.4,34,画廊外的天赋
752,The Weather Man,天气预报员,剧情,,2:00:00,2005,美国,40242,9212,None,29586,http://movie.douban.com/subject/1309054/,2005,The Weather Man,5413,7.5,295,天气预报员
753,The Parent Trap,天生一对,家庭,,2:00:00,1998,美国,111448,25021,None,82230,http://movie.douban.com/subject/1297102/,1998,The Parent Trap,16028,8.1,153,天生一对
754,ANGELS & DEMONS,天使与魔鬼,悬疑,立体声,2:18:16,2009,美国,74903,16540,None,59844,http://movie.douban.com/subject/1927369/,2009,Angels & Demons,12178,7,447,天使与魔鬼
755,The Fisher King,天涯沦落两心知,剧情,立体声,2:07:45,1991,美国,720,1104,None,526,http://movie.douban.com/subject/1292909/,1991,The Fisher King,143,7.4,9,天涯沦落两心知
756,Signs,天兆,科幻,,2:00:00,2002,美国,13107,2156,None,9774,http://movie.douban.com/subject/1298328/,2002,Signs,1371,6.4,29,天兆
757,The Sweetest Thing,甜姐不辣,爱情,立体声,1:23:20,2002,美国,1694,506,None,1234,http://movie.douban.com/subject/1306918/,2002,The Sweetest Thing,188,5.6,7,爱情甜不辣
758,HONEY ,甜心辣舞,音乐,环绕声，多声道,1:30:00,2011,美国,1772,174,None,1322,http://movie.douban.com/subject/5151823/,2011,Honey 2,448,5.9,5,甜心辣舞 2
759,JERRY MAGUIRE,甜心先生,爱情,立体声,1:12:51,1996,美国,21626,9476,None,15910,http://movie.douban.com/subject/1293158/,1996,Jerry Maguire,3889,7.3,100,甜心先生
760,Miracle,挑战奇迹,剧情,,2:00:00,2004,美国,1319,958,None,1047,http://movie.douban.com/subject/1309141/,2004,Miracle,262,7.7,12,冰上奇迹
761,JUMP (2009),跳出去,剧情,立体声,1:26:44,2009,中国香港,9943,1329,None,7897,http://movie.douban.com/subject/2124718/,2009,跳出去,2526,5.1,53,跳出去
762,Real Steel,铁甲钢拳,科幻,,2:00:00,2011,美国,141845,16917,None,119333,http://movie.douban.com/subject/1972729/,2011,Real Steel,49070,8.1,821,铁甲钢拳
763,WANTED,通辑令,动作,环绕声，多声道,1:45:18,,美国,5,1,None,5,http://movie.douban.com/subject/1304535/,,Ivory Hunters,1,0,0,猎象通辑令
764,Let's Go to Prison,同居牢友,喜剧,立体声,1:25:30,2006,美国,4498,2103,None,3464,http://movie.douban.com/subject/1867389/,2006,Let's Go to Prison,832,7.2,20,同居牢友
765,Hall Pass,偷情许可证,爱情,环绕声，多声道,1:31:55,2011,美国,7663,2146,None,6185,http://movie.douban.com/subject/3401751/,2011,Hall Pass,1790,5.7,19,嘿咻卡
766,The Italian Job,偷天换日,罪案,,2:00:00,2003,英法美,79808,8973,None,58604,http://movie.douban.com/subject/1301345/,2003,The Italian Job,8943,7.4,65,偷天换日
767,CLOSER,偷心,爱情,环绕声，多声道,1:43:43,2004,美国,119178,31576,None,87776,http://movie.douban.com/subject/1308974/,2004,Closer,22280,7.7,917,偷心
768,The Warlords,投名状,古装,立体声,1:51:07,2007,中国大陆,111517,3268,None,78404,http://movie.douban.com/subject/1947089/,2007,投名状,9197,6.7,1166,投名状
769,HOLLOW MAN,透明人,科幻,立体声,1:41:00,2000,美国,35035,2114,None,25134,http://movie.douban.com/subject/1293470/,2000,Hollow Man,3025,6.5,46,透明人
770,Under the Tuscan Sun,托斯卡尼艳阳下,爱情,,2:00:00,2003,美国/意大利,23462,17211,None,17866,http://movie.douban.com/subject/1307052/,2003,Under the Tuscan Sun,5936,8,229,托斯卡尼艳阳下
771,ALL THE PRETTY HORSES,脱缰野马,剧情,立体声,1:56:16,2000,美国,357,558,None,253,http://movie.douban.com/subject/1292858/,2000,All the Pretty Horses,57,6.4,2,骏马
772,Mr. Magoo,脱线先生,喜剧,,2:00:00,1997,美国,866,411,None,656,http://movie.douban.com/subject/1293831/,1997,Mr. Magoo,144,7.4,1,脱线先生
773,SCOTT PILGRIM VS THE WORLD,歪小子斯科特,奇幻,环绕声，多声道,1:47:02,2010,美国,28634,9220,None,23310,http://movie.douban.com/subject/2158222/,2010,Scott Pilgrim vs. the World,8751,6.9,94,歪小子斯科特对抗全世界
774,starman,外星恋,科幻,立体声,1:54:54,1984,美国,331,273,None,253,http://movie.douban.com/subject/1293581/,1984,Starman,78,7,0,外星恋
775,My Favorite Martian,外星人报到,科幻,,2:00:00,1999,美国,2182,338,None,1595,http://movie.douban.com/subject/1302724/,1999,My Favorite Martian,266,7.2,0,外星人报到
776,The Perfect Storm,完美风暴,冒险,立体声,1:58:19,2000,美国,18763,3093,None,14161,http://movie.douban.com/subject/1293815/,2000,The Perfect Storm,2107,7.3,63,完美风暴
777,Just Like Heaven,宛如天堂,剧情,,2:00:00,2005,美国,13693,2710,None,10201,http://movie.douban.com/subject/1421976/,2005,Just Like Heaven,1718,7,62,宛如天堂
778,The Skeleton Key,万能钥匙,惊悚,环绕声，多声道,1:38:57,2005,美国,119368,25853,None,94984,http://movie.douban.com/subject/1418752/,2005,The Skeleton Key,30178,7.6,519,万能钥匙
779,DESPERATE MEASURES,亡命之计,动作,环绕声，多声道,1:36:37,1998,美国,146,167,None,110,http://movie.douban.com/subject/1293108/,1998,Desperate Measures,22,6.6,4,亡命之计
780,"CABLE GUY, THE",王牌特派员,惊悚,环绕声，多声道,1:27:14,1996,美国,2737,675,None,1938,http://movie.douban.com/subject/1295749/,1996,The Cable Guy,342,6.4,11,王牌特派员
781,Searching for Bobby Fischer,王者之旅,喜剧,,2:00:00,1993,美国,377,942,None,310,http://movie.douban.com/subject/1298591/,1993,Searching for Bobby Fischer,96,7.6,4,王者之旅
782,YOUR HIGHNESS,王子殿下,喜剧,环绕声，多声道,1:30:09,2011,美国,2872,351,283,2468,http://movie.douban.com/subject/5967021/,2011,うたの☆プリンスさまっ♪ マジLOVE1000%,1429,5.8,14,歌之☆王子殿下 LOVE1000%
783,The Net 2.0,网络惊魂2.0,动作,立体声,1:32:17,,美国,691,82,None,539,http://movie.douban.com/subject/1471281/,,The Net 2.0,120,6,4,网络惊魂2.0
784,"WAY WE WERE, THE",往日情怀,爱情,立体声,1:57:28,1973,美国,3286,5429,None,2530,http://movie.douban.com/subject/1292466/,1973,The Way We Were,844,8.1,48,往日情怀
785,FORGETTING SARAH MARSHALL,忘掉莎拉·马歇尔,喜剧,环绕声，多声道,1:42:15,2008,美国,7571,2573,None,5893,http://movie.douban.com/subject/2149465/,2008,Forgetting Sarah Marshall,1259,6.4,50,忘掉莎拉·马歇尔
786,Doing Hard Time,危机时刻,动作,立体声,1:31:34,2004,美国,2,0,None,1,http://movie.douban.com/subject/1962882/,2004,Doing Hard Time(V),1,0,0,Doing Hard Time(V)
787,Dangerous Minds,危险游戏,罪案,,2:00:00,1995,美国,575,469,None,401,http://movie.douban.com/subject/1301466/,1995,Dangerous Minds,91,6.8,7,危险游戏
788,AWAY WE GO,为子搬迁,喜剧,环绕声，多声道,1:32:14,2009,美国,7135,6597,None,5789,http://movie.douban.com/subject/3006327/,2009,Away We Go,1738,7.6,50,为子搬迁
789,"ASSIGNMENT, THE (1997)",委以重任,惊悚,环绕声，多声道,1:46:36,1997,美国,307,205,None,230,http://movie.douban.com/subject/1292558/,1997,The Assignment,44,7.3,4,豺狼陷井
790,Future X-Cops,未来警察,科幻,立体声,1:39:16,2010,中国大陆,33605,2857,None,26457,http://movie.douban.com/subject/3329192/,2010,未来警察,7602,3.6,181,未来警察
791,WATERWORLD,未来水世界,科幻,环绕声，多声道,2:09:29,1995,美国,41292,3029,None,30451,http://movie.douban.com/subject/1294037/,1995,Waterworld,4050,6.8,54,未来水世界
792,SCENT OF A WOMAN,闻香识女人,剧情,环绕声，多声道,2:28:55,1992,美国,274070,55536,None,198684,http://movie.douban.com/subject/1298624/,1992,Scent of a Woman,43745,8.8,1089,闻香识女人
793,10 Things I Hate About You,我恨你的十件事,爱情,立体声,1:33:20,1999,美国,21036,20795,None,16272,http://movie.douban.com/subject/1296359/,1999,10 Things I Hate About You,5926,7.5,75,我恨你的十件事
794,Life as We Know It,我们所知道的生活,喜剧,环绕声，多声道,1:54:30,2010,美国,22031,7834,None,17090,http://movie.douban.com/subject/2998439/,2010,Life as We Know It,5137,6.9,39,我们所知道的生活
795,People Like Us,我们这祥的人,剧情,,2:00:00,2012,美国,3801,3189,None,3167,http://movie.douban.com/subject/5323380/,2012,People Like Us,1326,6.9,11,我们这样的人
796,I Now Pronounce You Chuck and Larry,我盛大的同志婚礼,喜剧,环绕声，多声道,1:50:27,2007,美国,21829,4830,None,16455,http://movie.douban.com/subject/1949320/,2007,I Now Pronounce You Chuck and Larry,2862,6.8,46,我盛大的同志婚礼
797,I Am Legend,我是传奇,科幻,,2:00:00,2007,美国,174554,12335,None,128726,http://movie.douban.com/subject/1820156/,2007,I Am Legend,21146,7.6,777,我是传奇
798,Why Did I Get Married?,我为什么结婚了？,喜剧,,2:00:00,2007,美国,734,734,None,564,http://movie.douban.com/subject/2159243/,2007,Why Did I Get Married?,178,7.2,5,我为什么结婚了？
799,,我愿意,爱情,立体声,1:42:04,2012,中国大陆,104196,10068,None,83851,http://movie.douban.com/subject/6782006/,2012,我愿意,27192,5.6,551,我愿意
800,I Know What You Did Last Summer,我知道去年夏天你干了什么,惊悚,立体声,1:40:36,1997,美国,14090,2079,None,10263,http://movie.douban.com/subject/1292779/,1997,I Know What You Did Last Summer,1716,6.2,17,我知道你去年夏天干了什么
801,My Best Friend's Wedding,我最好朋友的婚礼,爱情,立体声,1:36:25,1997,美国,73760,12034,None,51959,http://movie.douban.com/subject/1295965/,1997,My Best Friend's Wedding,8649,7.3,288,我最好朋友的婚礼
802,UNDERCOVER BROTHER,卧底兄弟,喜剧,环绕声，多声道,1:22:05,2002,美国,140,38,None,104,http://movie.douban.com/subject/1304928/,2002,Undercover Brother,32,6.7,0,卧底兄弟
803,BEETHOVEN ('92),无敌当家,喜剧,立体声,1:23:16,2000,美国,330,115,None,249,http://movie.douban.com/subject/1298900/,2000,Beethoven's 3rd (V),28,6.9,1,无敌当家3
804,BEETHOVEN'S 2ND,无敌当家2,喜剧,立体声,1:24:30,1993,美国,519,410,None,402,http://movie.douban.com/subject/1298432/,1993,Beethoven's 2nd,81,7.7,0,一家六口
805,The Incredible Hulk,无敌浩克,科幻,环绕声，多声道,1:47:21,2008,美国,65901,3949,None,50562,http://movie.douban.com/subject/1866475/,2008,The Incredible Hulk,8832,6.5,209,无敌浩克
806,Wreck-It Ralph,无敌破坏王,动画,,2:00:00,2012,美国,132004,37719,None,113922,http://movie.douban.com/subject/6534248/,2012,Wreck-It Ralph,50068,8.7,587,无敌破坏王
807,RESTLESS,无法安宁,剧情,环绕声，多声道,1:26:56,2011,美国,7275,14398,None,5662,http://movie.douban.com/subject/3999549/,2011,Restless,2651,7,38,悸动的心
808,WAIST DEEP,无法无天,罪案,环绕声，多声道,1:32:40,2006,美国,557,87,None,395,http://movie.douban.com/subject/1798225/,2006,Waist Deep,80,6.2,2,齐腰深
809,INGLORIOUS BASTERDS,无良杂种,战争,环绕声，多声道,2:26:11,2009,美国,175510,44921,None,140830,http://movie.douban.com/subject/1438652/,2009,Inglourious Basterds,36594,8.3,690,无耻混蛋
810,JUDE,无名的裘德,爱情,立体声,1:54:38,1996,美国,2818,3696,None,2027,http://movie.douban.com/subject/1301718/,1996,Jude,579,7.8,37,绝恋
811,"PIRATES WHO DON'T DO ANYTHING, THE",无所事事的海盗,动画,环绕声，多声道,1:21:46,2008,美国,772,229,None,584,http://movie.douban.com/subject/1939774/,2008,The Pirates Who Don't Do Anything: A VeggieTales Movie,115,5.7,4,无所事事的海盗
812,The Five-Year Engagement,五年之约,爱情,环绕声，多声道,2:04:00,2012,美国,8641,6909,None,6884,http://movie.douban.com/subject/3154908/,2012,The Five-Year Engagement,2872,6.6,32,五年之约
813,SEA OF LOVE,午夜惊情,罪案,环绕声，多声道,1:42:55,1989,美国,1194,704,None,913,http://movie.douban.com/subject/1295533/,1989,Sea of Love,235,7.1,6,午夜惊情
814,GORILLAS IN THE MIST,雾中猩猩：黛安·福西的冒,剧情,立体声,2:03:56,1988,美国,193,402,None,141,http://movie.douban.com/subject/1293392/,1988,Gorillas in the Mist: The Story of Dian Fossey,42,7.7,4,迷雾中的大猩猩
815,So Close,夕阳天使,动作,立体声,1:44:14,2002,中国大陆,56026,817,None,37333,http://movie.douban.com/subject/1300608/,2002,夕阳天使,4184,6.3,35,夕阳天使
816,Spanglish,西班牙女佣,剧情,立体声,2:11:01,2004,美国,3297,1024,None,2382,http://movie.douban.com/subject/1308975/,2004,Spanglish,461,7,24,西班牙女佣
817,Jonah Hex,西部英雄约拿·哈克斯,动作,,2:00:00,2010,美国,2926,816,None,2373,http://movie.douban.com/subject/2998456/,2010,Jonah Hex,715,5,14,西部英雄约拿·哈克斯
818,Sleepless in Seattle,西雅图夜未眠,爱情,立体声,1:44:27,1993,美国,176538,36556,None,124473,http://movie.douban.com/subject/1298128/,1993,Sleepless in Seattle,25305,7.8,504,西雅图未眠夜
819,Cirque du Freak: The Vampire's Assi,吸血鬼助手,惊悚,环绕声，多声道,1:44:21,2009,美国,9594,1921,None,7756,http://movie.douban.com/subject/1950454/,2009,Cirque du Freak: The Vampire's Assistant,2065,6,35,奇趣马戏团：吸血鬼的助手
820,Jack Reacher,侠探杰克,动作,,2:00:00,2012,美国,44727,5689,None,38466,http://movie.douban.com/subject/3231740/,2012,Jack Reacher,16036,5.9,139,侠探杰克
821,Charlotte's Web,夏洛特的网,奇幻,,2:00:00,2006,美国/德国,44269,10905,None,31742,http://movie.douban.com/subject/1457218/,2006,Charlotte's Web,6094,7.7,150,夏洛特的网
822,Music of the Heart,弦动我心,音乐,,2:00:00,1999,美国,1648,2794,None,1221,http://movie.douban.com/subject/1299176/,1999,Music of the Heart,248,7.9,11,弦动我心
823,Trapped,陷入绝境,动作,立体声,1:45:44,,美国,108,19,None,88,http://movie.douban.com/subject/4277487/,,Entführt - Ich hol dich da raus,14,5.2,0,陷入绝境
824,the country bears,乡村小熊,喜剧,立体声,1:21:10,2002,美国,44,25,None,31,http://movie.douban.com/subject/1307518/,2002,The Country Bears,8,5.5,1,草地英熊
825,COUNTRY STRONG,乡谣情缘,剧情,立体声,1:56:38,2010,美国,5456,3105,None,4421,http://movie.douban.com/subject/4181108/,2010,Country Strong,1897,6.8,31,乡谣情缘
826,The Help,相助,剧情,,2:00:00,2011,美国,44866,26825,None,37853,http://movie.douban.com/subject/3792848/,2011,The Help,14073,8.7,214,相助
827,THINK LIKE A MAN,像男人一样思考,喜剧,环绕声，多声道,1:55:58,2012,美国,8557,7094,None,6674,http://movie.douban.com/subject/5327655/,2012,Think Like a Man,2570,6.6,28,像男人一样思考
828,Shawshank Redemption,肖申克的救赎,剧情,立体声,2:22:40,1994,美国,714858,44166,None,522427,http://movie.douban.com/subject/1292052/,1994,The Shawshank Redemption,117342,9.5,2975,肖申克的救赎
829,LITTLE MAN,小矮人,喜剧,立体声,1:37:34,2006,美国,3069,281,None,2300,http://movie.douban.com/subject/1780982/,2006,Little Man,399,5.8,4,小矮人
830,LITTLE WOMEN (1994),小妇人,爱情,立体声,1:53:40,1994,美国,9440,6116,None,6601,http://movie.douban.com/subject/1298522/,1994,Little Women,1335,7.8,35,小妇人
831,Red Riding Hood,小红帽,惊悚,立体声,1:39:40,2011,美国,45906,14272,None,35671,http://movie.douban.com/subject/3914500/,2011,Red Riding Hood,13248,5.5,144,小红帽
832,white chicks,小姐好白,喜剧,立体声,1:39:13,2004,美国,40239,3265,None,29780,http://movie.douban.com/subject/1309120/,2004,White Chicks,5407,6.9,19,小姐好白
833,BABE: PIG IN THE CITY,小猪进城,喜剧,立体声,1:26:53,1998,美国,2755,626,None,2019,http://movie.douban.com/subject/1293648/,1998,Babe: Pig in the City,399,7.7,1,小猪宝贝2：小猪进城
834,,笑过2012,剧情,立体声,1:51:14,2012,中国大陆,404,352,None,320,http://movie.douban.com/subject/20395278/,2012,笑过2012,162,6.3,20,笑过2012
835,The Scorpion King,蝎子王,奇幻,环绕声，多声道,1:31:19,2002,美国,25201,749,None,17570,http://movie.douban.com/subject/1306610/,2002,The Scorpion King,1425,6.3,6,蝎子王
836,Firelight,心火,爱情,,2:00:00,1997,美国,23924,10175,None,16744,http://movie.douban.com/subject/1297643/,1997,Firelight,3194,7.8,119,心火
837,PATCH ADAMS,心灵点滴,喜剧,环绕声，多声道,1:50:11,1998,美国,5680,5795,None,4425,http://movie.douban.com/subject/1293981/,1998,Patch Adams,1183,8.4,34,心灵点滴
838,Schindler's List,辛德勒名单,传记,,2:00:00,1993,美国,322168,72079,None,228293,http://movie.douban.com/subject/1295124/,1993,Schindler's List,38078,9.3,704,辛德勒的名单
839,LES MISERABLES,新悲惨世界,剧情,立体声,2:13:51,1998,美国,3452,780,None,2684,http://movie.douban.com/subject/1297138/,1998,Les misérables,965,7.5,18,新悲惨世界
840,"NEW GUY, THE (2002)",新丁驾到,喜剧,立体声,1:18:04,2002,美国,701,300,None,516,http://movie.douban.com/subject/1301068/,2002,The New Guy,108,6.5,2,新丁驾到
841,The Count Of Monte Cristo,新基督山伯爵,惊悚,,2:00:00,2002,美国/英国,12980,2233,None,9671,http://movie.douban.com/subject/1306893/,2002,The Count of Monte Cristo,2722,7.1,55,新基督山伯爵
842,Sabrina (1995),新龙凤配,喜剧,,2:00:00,1995,美国/德国,5332,1525,None,3839,http://movie.douban.com/subject/1301221/,1995,Sabrina,907,7.1,36,新龙凤配
