序号,英文名称,节目名称,类型,声道,节目时长,年代,国家,看过人数,想看人数,在看人数,评分人数,豆瓣url,年代,原名,短评数量,评分,影评数量,豆瓣名称
43,Snow White and the Huntsman,白雪公主与猎人,奇幻,环绕声，多声道,2:07:14,2012,美国,43829,13577,None,35398,http://movie.douban.com/subject/5327463/,2012,Snow White and the Huntsman,16949,5.2,230,白雪公主与猎人
44,LA BAMBA,班巴,剧情,立体声,1:42:33,1987,美国,180,678,None,131,http://movie.douban.com/subject/1299509/,1987,La Bamba,44,8.3,0,青春传奇
45,COUPLES RETREAT,伴侣度假村,喜剧,环绕声，多声道,1:48:33,2009,美国,6041,1713,None,4798,http://movie.douban.com/subject/3073281/,2009,Couples Retreat,1202,6,16,伴侣度假村
46,BRIDESMAIDS,伴娘,喜剧,环绕声，多声道,1:36:40,2011,美国,54980,19066,None,43404,http://movie.douban.com/subject/3880545/,2011,Bridesmaids,16181,6.7,232,伴娘
47,STAND BY ME,伴我同行,剧情,立体声,1:28:41,1986,美国,33165,44914,None,26847,http://movie.douban.com/subject/1292925/,1986,Stand by Me,9119,8.9,222,伴我同行
48,FOR LOVE OF THE GAME,棒球之爱,运动,立体声,2:17:55,2011,美国,706,413,None,585,http://movie.douban.com/subject/5299006/,2011,글러브,209,7.7,8,棒球之爱
49,MY GIRL,宝贝小情人,剧情,立体声,1:42:07,1991,美国,3098,6168,None,2333,http://movie.douban.com/subject/1299802/,1991,My Girl,719,8.5,17,宝贝小情人
50,PAUL,保罗,科幻,环绕声，多声道,1:36:55,2011,美国,48352,11298,None,39358,http://movie.douban.com/subject/2999913/,2011,Paul,12814,7.5,94,保罗
51,DEFENDOR,保卫者,喜剧,立体声,1:41:13,2009,美国,5569,1783,None,4865,http://movie.douban.com/subject/3268493/,2009,Defendor,1402,7.4,46,保卫者
52,BOBBY JONES：STROKE OF GENIUS,鲍比·琼斯：天才一击,运动,立体声,2:03:22,2004,美国,239,414,None,167,http://movie.douban.com/subject/1308786/,2004,Bobby Jones: Stroke of Genius,41,7.2,4,鲍比・琼斯：天才一击
53,History of Violence,暴力史,罪案,立体声,1:27:44,2005,美国,13478,4863,None,10476,http://movie.douban.com/subject/1422917/,2005,A History of Violence,1963,7.4,84,暴力史
