序号,英文名称,节目名称,类型,集数,时长,年代,国家,看过人数,想看人数,在看人数,评分人数,豆瓣url,年代,原名,短评数量,评分,影评数量,豆瓣名称
38,,我的美丽人生,现代/励志,28,60,2010,中国大陆,742,88,78,630,http://movie.douban.com/subject/4942670/,2010,我的美丽人生,171,7,16,我的美丽人生
39,,龙门镖局,古代/喜剧,40,60,2013,中国大陆,34492,2203,8954,35216,http://movie.douban.com/subject/11627047/,2013,龙门镖局,12372,7.4,331,龙门镖局
40,,五号特工组之偷天换月,革命/战争,32,60,2012,中国大陆,514,37,43,427,http://movie.douban.com/subject/10757209/,2012,五号特工组2,156,5.7,11,五号特工组2
41,,武松,古装,50,60,2013,中国大陆,223,29,29,206,http://movie.douban.com/subject/11632474/,2013,武松,126,3.2,7,武松
42,,温柔的慈悲,爱情、励志,30,60,2012,大陆台湾,38,53,12,37,http://movie.douban.com/subject/10472203/,2012,溫柔的慈悲,15,7.4,0,温柔的慈悲
43,,赵氏孤儿案,大型历史剧,41,60,2012,中国大陆,,,,,,2012,,,,,
44,,大宅门1912,近代/传奇,39,60,2013,中国大陆,1220,284,222,1113,http://movie.douban.com/subject/10437817/,2013,大宅门1912,519,5.3,17,大宅门1912
45,,零炮楼,抗日题材,30,60,2013,中国大陆,,,,,,2013,,,,,
46,,利箭行动,抗战,43,60,2013,中国大陆,,,,,,2013,,,,,
47,,正午阳光,当代/都市,30,60,2013,中国大陆,46,12,8,43,http://movie.douban.com/subject/24843672/,2013,正午阳光,10,7.2,1,正午阳光
48,,永不回头,家庭/伦理,27,60,2010,中国大陆,,,,,,2010,,,,,
49,,中国骑兵,抗战,30,60,2012,中国大陆,119,15,14,105,http://movie.douban.com/subject/14238760/,2012,中国骑兵,39,6.2,4,中国骑兵
50,,新四大名捕,罪案,24,60,2011,中国大陆,,,,,,2011,,,,,
51,,手术刀,罪案,22,60,2010,中国大陆,712,854,None,578,http://movie.douban.com/subject/3836100/,2010,孤高のメス,249,7.4,15,孤高的手术刀
52,,喋血边城,革命/战争,32,60,2010,中国大陆,8,7,1,5,http://movie.douban.com/subject/6521850/,2010,喋血边城,3,0,0,喋血边城
53,,草根王,历史/战争,30,60,2010,中国大陆,57,11,9,56,http://movie.douban.com/subject/5413834/,2010,草根王,18,6.8,0,草根王
54,,碧波仙子,古装/悬疑,48,60,2011,中国大陆,158,18,18,141,http://movie.douban.com/subject/6078007/,2011,碧波仙子,66,4.4,2,碧波仙子
55,,西游记,古装/神话,60,60,2011,中国大陆,,,,,,2011,,,,,
56,,水浒传,历史/古装,86,60,2010,中国大陆,,,,,,2010,,,,,
57,,红楼梦,爱情/古装,50,60,2010,中国大陆,,,,,,2010,,,,,
58,,母亲的战争,家庭/伦理,32,60,2010,中国大陆,148,9,9,130,http://movie.douban.com/subject/5423516/,2010,母亲的战争,50,5.7,4,母亲的战争
