序号,英文名称,节目名称,类型,声道,节目时长,年代,国家
674,The Santa Clause,圣诞大疯狂,奇幻,,2:00:00,1994,美国
675,Christmas Story,圣诞故事,家庭,立体声,1:29:28,1983,美国
676,A Christmas Story2,圣诞故事2,家庭,环绕声，多声道,1:22:03,2012,美国
677,Dr. Seuss' How the Grinch Stole Christmas,圣诞怪杰,喜剧,环绕声，多声道,1:40:37,2000,美国
678,The Muppet Christmas Carol,圣诞欢歌,奇幻,,2:00:00,1992,美国
679,GANDHI,圣雄甘地,传记,立体声,3:08:02,1992,美国
680,A Knight's Tale,圣战骑士,冒险,立体声,2:02:45,2001,美国
681,The Losers,失败者,罪案,,2:00:00,2010,美国
682,High Fidelity,失恋排行榜,爱情,,2:00:00,2000,英国/美国
683,LAND OF THE LOST,失落的大陆,科幻,环绕声，多声道,1:37:10,2009,美国
684,THE LADYKILLERS,师奶杀手,喜剧,立体声,1:34:53,1987,美国
685,Zodiac,十二宫,罪案,,2:00:00,2007,美国
686,Ocean's Twelve,十二罗汉,罪案,立体声,1:59:29,2004,美国
687,December Boys,十二月男孩,爱情,,2:00:00,2007,英国/美国
688,How to Lose a Guy in 10 Days,十日拍拖手册,爱情,,2:00:00,2003,美国/德国
689,DAYLIGHT,十万火急,剧情,环绕声，多声道,1:49:40,1996,美国
690,OCTOBER SKY,十月的天空,剧情,立体声,1:42:51,1999,美国
691,The Time Traveler's Wife,时间旅行者的妻子,奇幻,,2:00:00,2009,美国
692,The Hours,时时刻刻,剧情,,2:00:00,2002,美国/英国
693,TICKING CLOCK,时钟,罪案,立体声,1:40:33,2010,美国
694,Scooby-Doo,史酷比,奇幻,立体声,1:22:36,2002,美国
695,Scooby-Doo! Legend of the Phantosaur,史酷比！鬼怪岛的传说,动画,立体声,1:15:11,2011,美国
696,Scooby-Doo! Music of the Vampire,史酷比！鬼魅音乐,动画,环绕声，多声道,1:18:07,2012,美国
697,Scooby-Doo! Stage Fright,史酷比！舞台风波,动画,立体声,1:18:15,2013,美国
698,Scooby-Doo! Curse of the Lake Monster,史酷比：湖怪的诅咒,奇幻,立体声,1:21:54,2010,美国
699,Scooby-Doo! Mask of the Blue Falcon,史酷比：蓝猎鹰面具,动画,环绕声，多声道,1:16:24,2012,美国
700,Big Top Scooby-Doo!,史酷比：最高危机,动画,环绕声，多声道,1:20:11,2012,美国
701,Scooby-Doo and the Cyber Chase,史酷比鬼屋历险,动画,立体声,1:09:16,2005,美国
702,Scooby-Doo and the Monster of Mexico,史酷比与墨西哥妖怪,动画,立体声,1:15:07,2003,美国
703,"10,000 BC",史前一万年,科幻,,2:00:00,2008,美国
704,DOOMSDAY,世界末日,科幻,环绕声，多声道,1:42:06,2007,美国
705,World Trade Center,世贸中心,剧情,,2:00:00,2006,美国
706,The Roommate,室友,惊悚,立体声,1:28:19,2011,美国
707,The Vow,誓约,爱情,环绕声，多声道,1:39:27,2012,美国
708,Watchmen,守望者,科幻,,2:00:00,2009,美国
709,Atonement,赎罪,剧情,立体声,1:57:36,2007,美国
710,Duplex,双层公寓,喜剧,,2:00:00,2003,美国/德国
711,The Mirror Has Two Faces,双面镜,剧情,立体声,2:06:20,1997,美国
712,DOUBLE VISION (2002),双瞳,惊悚,立体声,1:45:59,2002,美国
713,Who Framed Roger Rabbit,谁陷害了兔子罗杰,动画,,2:00:00,1988,美国
714,Lady in the Water,水中女妖,惊悚,,2:00:00,2006,美国
715,The Life Aquatic with Steve Zissou,水中生活,剧情,,2:00:00,2004,美国
716,Bedtime Stories,睡前故事,奇幻,,2:00:00,2008,美国
717,IT'S KIND OF A FUNNY STORY,说来有点可笑,喜剧,环绕声，多声道,1:36:07,2010,美国
718,300,斯巴达300勇士,动作,,2:00:00,2007,美国
719,DEAD SILENCE,死寂,恐怖,立体声,1:25:25,2007,美国
720,Final Destination 5,死神来了5,惊悚,环绕声，多声道,1:27:40,2012,美国
721,DEATH RACE ('08),死亡飞车,动作,立体声,1:39:51,2008,美国
722,Dead Poets Society,死亡诗社,剧情,,2:00:00,1989,美国
723,ANGEL OF DEATH,死亡天使,动作,立体声,1:17:42,2009,美国
724,The 40 Year-Old Virgin,四十岁老处男,喜剧,环绕声，多声道,1:50:21,2005,美国
725,Four Christmases,四喜临门,喜剧,,2:00:00,2008,美国/德国
726,The Fast and the Furious,速度与激情,动作,环绕声，多声道,1:42:27,2001,美国
727,FAST AND THE FURIOUS: Tokyo Drift,速度与激情3,动作,环绕声，多声道,1:39:48,2006,美国
728,FAST & FURIOUS,速度与激情4,动作,环绕声，多声道,1:36:50,2009,美国
729,FAST FIVE,速度与激情5,动作,环绕声，多声道,2:04:57,2011,美国
730,JUST GO WITH IT,随波逐流,爱情,立体声,1:51:22,2011,美国
731,TEARS OF THE SUN,太阳泪,战争,环绕声，多声道,1:55:58,2003,美国
732,Cirque du Soleil: Worlds Away,太阳马戏团：遥远的世界,奇幻,,2:00:00,2012,美国
733,ted,泰迪熊,喜剧,环绕声，多声道,1:40:12,2012,美国
734,The Island,逃出克隆岛,科幻,立体声,2:10:20,2005,美国
735,Argo,逃离德黑兰,剧情,立体声,2:00:17,2012,美国
736,Fool's Gold,淘金俏冤家,爱情,,2:00:00,2008,美国
737,Extremely Loud & Incredibly Close,特别响，非常近,剧情,环绕声，多声道,2:09:25,2011,美国
738,Miss Congeniality 2: Armed and Fabulous,特工佳丽2,罪案,,2:00:00,2005,美国/澳大利亚
739,SALT,特工绍特,动作,立体声,1:36:53,2010,美国
740,Judge Dredd,特警判官,科幻,,2:00:00,1995,英国/美国
741,The Express,特快达阵,剧情,环绕声，多声道,2:04:07,2008,美国
742,Troy,特洛伊,动作,立体声,2:36:03,2004,美国
743,The Good Shepherd,特务风云,剧情,环绕声，多声道,2:39:52,2006,美国
744,G.I. Joe: The Rise of Cobra,特种部队：眼镜蛇的崛起,动作,,2:00:00,2009,美国
745,G.I. Joe: Retaliation,特种部队2:全面反击,动作,,2:00:00,2013,美国
746,Body Heat,体热,剧情,立体声,1:48:07,1981,美国
747,The Replacement Killers,替身杀手,动作,立体声,1:23:53,1998,美国
748,DANTE'S PEAK,天崩地裂,剧情,环绕声，多声道,1:43:50,1997,美国
749,FLASH OF GENIUS,天才闪光,剧情,环绕声，多声道,1:54:11,2008,美国
750,The Royal Tenenbaums,天才一族,喜剧,,2:00:00,2001,美国
751,The Natural,天赋,剧情,立体声,2:18:04,1984,美国
752,The Weather Man,天气预报员,剧情,,2:00:00,2005,美国
753,The Parent Trap,天生一对,家庭,,2:00:00,1998,美国
754,ANGELS & DEMONS,天使与魔鬼,悬疑,立体声,2:18:16,2009,美国
755,The Fisher King,天涯沦落两心知,剧情,立体声,2:07:45,1991,美国
756,Signs,天兆,科幻,,2:00:00,2002,美国
757,The Sweetest Thing,甜姐不辣,爱情,立体声,1:23:20,2002,美国
758,HONEY ,甜心辣舞,音乐,环绕声，多声道,1:30:00,2003,美国
759,JERRY MAGUIRE,甜心先生,爱情,立体声,1:12:51,1996,美国
760,Miracle,挑战奇迹,剧情,,2:00:00,2004,美国
761,JUMP (2009),跳出去,剧情,立体声,1:26:44,2009,中国香港
762,Real Steel,铁甲钢拳,科幻,,2:00:00,2011,美国
763,WANTED,通辑令,动作,环绕声，多声道,1:45:18,2008,美国
764,Let's Go to Prison,同居牢友,喜剧,立体声,1:25:30,2006,美国
765,Hall Pass,偷情许可证,爱情,环绕声，多声道,1:31:55,2011,美国
766,The Italian Job,偷天换日,罪案,,2:00:00,2003,英法美
767,CLOSER,偷心,爱情,环绕声，多声道,1:43:43,2004,美国
768,The Warlords,投名状,古装,立体声,1:51:07,2007,中国大陆
769,HOLLOW MAN,透明人,科幻,立体声,1:41:00,2000,美国
770,Under the Tuscan Sun,托斯卡尼艳阳下,爱情,,2:00:00,2003,美国/意大利
771,ALL THE PRETTY HORSES,脱缰野马,剧情,立体声,1:56:16,2000,美国
772,Mr. Magoo,脱线先生,喜剧,,2:00:00,1997,美国
773,SCOTT PILGRIM VS THE WORLD,歪小子斯科特,奇幻,环绕声，多声道,1:47:02,2010,美国
774,starman,外星恋,科幻,立体声,1:54:54,1984,美国
775,My Favorite Martian,外星人报到,科幻,,2:00:00,1999,美国
776,The Perfect Storm,完美风暴,冒险,立体声,1:58:19,2000,美国
777,Just Like Heaven,宛如天堂,剧情,,2:00:00,2005,美国
778,The Skeleton Key,万能钥匙,惊悚,环绕声，多声道,1:38:57,2005,美国
779,DESPERATE MEASURES,亡命之计,动作,环绕声，多声道,1:36:37,1998,美国
780,"CABLE GUY, THE",王牌特派员,惊悚,环绕声，多声道,1:27:14,1996,美国
781,Searching for Bobby Fischer,王者之旅,喜剧,,2:00:00,1995,美国
782,YOUR HIGHNESS,王子殿下,喜剧,环绕声，多声道,1:30:09,2011,美国
783,The Net 2.0,网络惊魂2.0,动作,立体声,1:32:17,2006,美国
784,"WAY WE WERE, THE",往日情怀,爱情,立体声,1:57:28,1973,美国
785,FORGETTING SARAH MARSHALL,忘掉莎拉·马歇尔,喜剧,环绕声，多声道,1:42:15,2008,美国
786,Doing Hard Time,危机时刻,动作,立体声,1:31:34,2004,美国
787,Dangerous Minds,危险游戏,罪案,,2:00:00,1995,美国
788,AWAY WE GO,为子搬迁,喜剧,环绕声，多声道,1:32:14,2009,美国
789,"ASSIGNMENT, THE (1997)",委以重任,惊悚,环绕声，多声道,1:46:36,1997,美国
790,Future X-Cops,未来警察,科幻,立体声,1:39:16,2010,中国大陆
791,WATERWORLD,未来水世界,科幻,环绕声，多声道,2:09:29,1995,美国
792,SCENT OF A WOMAN,闻香识女人,剧情,环绕声，多声道,2:28:55,1992,美国
793,10 Things I Hate About You,我恨你的十件事,爱情,立体声,1:33:20,1999,美国
794,Life as We Know It,我们所知道的生活,喜剧,环绕声，多声道,1:54:30,2010,美国
795,People Like Us,我们这祥的人,剧情,,2:00:00,2012,美国
796,I Now Pronounce You Chuck and Larry,我盛大的同志婚礼,喜剧,环绕声，多声道,1:50:27,2007,美国
797,I Am Legend,我是传奇,科幻,,2:00:00,2007,美国
798,Why Did I Get Married?,我为什么结婚了？,喜剧,,2:00:00,2007,美国
799,,我愿意,爱情,立体声,1:42:04,2012,中国大陆
800,I Know What You Did Last Summer,我知道去年夏天你干了什么,惊悚,立体声,1:40:36,1997,美国
801,My Best Friend's Wedding,我最好朋友的婚礼,爱情,立体声,1:36:25,1997,美国
802,UNDERCOVER BROTHER,卧底兄弟,喜剧,环绕声，多声道,1:22:05,2002,美国
803,BEETHOVEN ('92),无敌当家,喜剧,立体声,1:23:16,1992,美国
804,BEETHOVEN'S 2ND,无敌当家2,喜剧,立体声,1:24:30,1993,美国
805,The Incredible Hulk,无敌浩克,科幻,环绕声，多声道,1:47:21,2008,美国
806,Wreck-It Ralph,无敌破坏王,动画,,2:00:00,2012,美国
807,RESTLESS,无法安宁,剧情,环绕声，多声道,1:26:56,2011,美国
808,WAIST DEEP,无法无天,罪案,环绕声，多声道,1:32:40,2006,美国
809,INGLORIOUS BASTERDS,无良杂种,战争,环绕声，多声道,2:26:11,2009,美国
810,JUDE,无名的裘德,爱情,立体声,1:54:38,1996,美国
811,"PIRATES WHO DON'T DO ANYTHING, THE",无所事事的海盗,动画,环绕声，多声道,1:21:46,2008,美国
812,The Five-Year Engagement,五年之约,爱情,环绕声，多声道,2:04:00,2012,美国
813,SEA OF LOVE,午夜惊情,罪案,环绕声，多声道,1:42:55,1989,美国
814,GORILLAS IN THE MIST,雾中猩猩：黛安·福西的冒,剧情,立体声,2:03:56,1988,美国
815,So Close,夕阳天使,动作,立体声,1:44:14,2002,中国大陆
816,Spanglish,西班牙女佣,剧情,立体声,2:11:01,2003,美国
817,Jonah Hex,西部英雄约拿·哈克斯,动作,,2:00:00,2010,美国
818,Sleepless in Seattle,西雅图夜未眠,爱情,立体声,1:44:27,1993,美国
819,Cirque du Freak: The Vampire's Assi,吸血鬼助手,惊悚,环绕声，多声道,1:44:21,2009,美国
820,Jack Reacher,侠探杰克,动作,,2:00:00,2012,美国
821,Charlotte's Web,夏洛特的网,奇幻,,2:00:00,2006,美国/德国
822,Music of the Heart,弦动我心,音乐,,2:00:00,1999,美国
823,Trapped,陷入绝境,动作,立体声,1:45:44,2002,美国
824,the country bears,乡村小熊,喜剧,立体声,1:21:10,2002,美国
825,COUNTRY STRONG,乡谣情缘,剧情,立体声,1:56:38,2010,美国
826,The Help,相助,剧情,,2:00:00,2011,美国
827,THINK LIKE A MAN,像男人一样思考,喜剧,环绕声，多声道,1:55:58,2012,美国
828,Shawshank Redemption,肖申克的救赎,剧情,立体声,2:22:40,1994,美国
829,LITTLE MAN,小矮人,喜剧,立体声,1:37:34,2006,美国
830,LITTLE WOMEN (1994),小妇人,爱情,立体声,1:53:40,1994,美国
831,Red Riding Hood,小红帽,惊悚,立体声,1:39:40,2011,美国
832,white chicks,小姐好白,喜剧,立体声,1:39:13,2004,美国
833,BABE: PIG IN THE CITY,小猪进城,喜剧,立体声,1:26:53,1998,美国
834,,笑过2012,剧情,立体声,1:51:14,2012,中国大陆
835,The Scorpion King,蝎子王,奇幻,环绕声，多声道,1:31:19,2002,美国
836,Firelight,心火,爱情,,2:00:00,1998,美国
837,PATCH ADAMS,心灵点滴,喜剧,环绕声，多声道,1:50:11,2006,美国
838,Schindler's List,辛德勒名单,传记,,2:00:00,1993,美国
839,LES MISERABLES,新悲惨世界,剧情,立体声,2:13:51,1998,美国
840,"NEW GUY, THE (2002)",新丁驾到,喜剧,立体声,1:18:04,2002,美国
841,The Count Of Monte Cristo,新基督山伯爵,惊悚,,2:00:00,2002,美国/英国
842,Sabrina (1995),新龙凤配,喜剧,,2:00:00,1995,美国/德国
843,New Year's Eve,新年前夜,剧情,环绕声，多声道,1:52:42,2011,美国
844,FUN WITH DICK AND JANE (2005),新抢钱夫妻,喜剧,立体声,1:30:14,2005,美国
845,SOMETHING NEW,新人恋曲,喜剧,立体声,1:35:45,2006,美国
846,Shaolin,新少林寺,动作,立体声,2:10:58,2011,中国大陆
847,The Rookie,新手正传,动作,,2:00:00,2002,美国
848,Father of the Bride Part II,新岳父大人,喜剧,立体声,1:42:10,1991,美国
849,Father of the Bride,新岳父大人2,喜剧,立体声,1:38:17,1995,美国
850,Stardust,星尘,奇幻,,2:00:00,2007,英国/美国
851,Starship Troopers,星河战队,科幻,,2:00:00,1997,美国
852,STARSHIP TROOPERS: INVASION,星河战队：入侵,动画,环绕声，多声道,1:23:29,2012,美国
853,Old Dogs,星级拍档,喜剧,,2:00:00,2009,美国
854,PITCH BLACK,星际传奇,科幻,环绕声，多声道,1:43:53,2000,美国
855,"CHRONICLES OF RIDDICK, THE",星际传奇2,科幻,立体声,1:59:12,2004,美国
856,Star Trek,际迷航,科幻,,2:00:00,2009,美国
857,Star Wars: The Clone Wars,星球人战：克隆战争,动画,,2:00:00,2008,美国
858,"Happiness Is a Warm Blanket, Charlie Brown",幸福是一条溫暖的毛毯,动画,立体声,0:44:56,2011,美国
859,The Lucky One,幸运符,剧情,环绕声，多声道,1:40:49,2012,美国
860,"PEOPLE VS. LARRY FLYNT, THE",性书大亨,剧情,立体声,2:04:04,1996,美国
861,Sister Act,修女也疯狂,音乐,,2:00:00,1992,美国
862,Sister Act 2: Back in the Habit,修女也疯狂 2,音乐,,2:00:00,1993,美国
863,The Hangover Part II,宿醉2,喜剧,环绕声，多声道,1:39:41,2012,美国
864,"Hangover III, The",宿醉3,喜剧,环绕声，多声道,1:40:04,2013,美国
865,HAMLET 2,续写哈姆雷特,喜剧,环绕声，多声道,1:22:46,2008,美国
866,White Fang,雪地黄金犬,冒险,,2:00:00,1991,美国
867,Whiteout,雪盲,惊悚,,2:00:00,2009,加拿大/美国
868,Snow Dogs,雪橇狗,喜剧,立体声,1:31:00,2002,美国
869,Blood Diamond,血钻,剧情,立体声,2:17:12,2006,美国
870,A Very Harold & Kumar Christmas,寻堡奇遇3,喜剧,环绕声，多声道,1:25:48,2011,美国
871,Finding Forrester,寻找弗雷斯特,剧情,立体声,2:06:25,2000,美国
872,Finding Neverland,寻找梦幻岛,传记,,2:00:00,2004,英国/美国
873,Training Day,训练日,罪案,立体声,1:56:54,2001,美国
874,Arthur,亚瑟,喜剧,环绕声，多声道,1:49:47,2011,美国
875,ARTHUR CHRISTMAS,亚瑟·圣诞,动画,环绕声，多声道,1:33:22,2011,美国
876,King Arthur,亚瑟王,动作,,2:00:00,2004,美国/英国
877,"SERIOUS MAN, A",严肃的男人,喜剧,环绕声，多声道,1:39:09,2009,美国
878,Rock of Ages,摇滚年代,爱情,环绕声，多声道,2:03:11,2012,美国
879,WILD CHILD,野孩子,爱情,环绕声，多声道,1:33:26,2009,美国
880,Where the Wild Things Are,野兽家园,奇幻,,2:00:00,2009,美国
881,Evening,夜幕,剧情,环绕声，多声道,1:52:04,2007,美国
882,BLOODWORTH,夜之州,剧情,立体声,1:31:42,2011,美国
883,"PERFECT GETAWAY, A",一次完美的逃亡,惊悚,立体声,1:35:45,2009,美国
884,Simon Birch,一路上有你,喜剧,,2:00:00,1998,加拿大
885,Keeping the Faith,一如既往,喜剧,,2:00:00,2000,美国
886,Fierce People,一生爱永远,剧情,,2:00:00,2008,美国/加拿大
887,KNOCKED UP,一夜大肚,喜剧,环绕声，多声道,2:02:23,2007,美国
888,ELIZABETH,伊丽莎白,剧情,环绕声，多声道,1:58:27,1998,美国
889,"Elizabeth: Golden Age, The",伊丽莎白：辉煌年代,剧情,立体声,1:50:07,2007,美国
890,Elizabethtown,伊丽莎白镇,爱情,,2:00:00,2005,美国
891,"Rite, The",仪式,惊悚,环绕声，多声道,1:53:38,2011,美国
892,"GIRL, INTERRUPTED",移魂女郎,剧情,立体声,2:07:06,2000,美国
893,Oblivion,遗落战境,科幻,,2:00:00,2013,美国
894,The Bucket List,遗愿清单,罪案,,2:00:00,2007,美国
895,UNDER SUSPICION (2000),疑云密布,罪案,立体声,1:49:11,2000,美国
896,"Thirteenth Floor, The",异次元骇客,惊悚,立体声,1:40:17,1999,美国
897,ALIEN HUNTER,异度深寒,科幻,环绕声，多声道,1:27:20,2003,美国
898,John Carter,异星战场,科幻,,2:00:00,2012,美国
899,RANDOM HEARTS,驿动的心,罪案,环绕声，多声道,2:07:13,1999,美国
900,Up Close & Personal,因为你爱过我,爱情,,2:00:00,1996,美国
901,The English Patient,英国病人,爱情,,2:00:00,1996,美国
902,"UNBORN, THE",婴灵恶泣,恐怖,环绕声，多声道,1:24:13,2009,美国
903,SHADOW MAN,影子超人,动作,环绕声，多声道,1:31:10,2006,美国
904,"HARD CORPS, THE",硬汉团,动作,立体声,1:50:20,2006,美国
905,HARDWIRED,硬连线,科幻,环绕声，多声道,1:33:45,2009,美国
906,Invictus,永不屈服,剧情,,2:00:00,2009,美国
907,SENNA,永远的车神,传记,环绕声，多声道,1:40:26,2010,美国
908,Pride,泳池骄龙,运动,,2:00:00,2007,美国
909,The Rock,勇闻夺命岛,冒险,,2:00:00,1996,美国
910,Brave,勇敢传说,动画,,2:00:00,2012,美国
911,Jumanji,勇敢者游戏,奇幻,立体声,1:44:00,1995,美国
912,ZATHURA: A SPACE ADVENTURE,勇敢者游戏2,奇幻,环绕声，多声道,1:41:16,2005,美国
913,COURAGEOUS,勇气,剧情,立体声,1:24:17,2011,美国
914,"SQUID AND THE WHALE, THE",鱿鱼和鲸,喜剧,立体声,1:17:23,2005,美国
915,Amusement,娱乐游戏,剧情,,2:00:00,2009,美国
916,Yogi Bear 3D,瑜伽熊,动画,立体声,1:20:19,2010,美国
917,DEVIL IN A BLUE DRESS,与魔鬼同行,罪案,立体声,1:33:52,1995,美国
918,TEA WITH MUSSOLINI,与墨索里尼喝茶,剧情,环绕声，多声道,1:52:09,1999,美国
919,RIDING IN CARS WITH BOYS,与男孩同车,剧情,立体声,2:01:01,2001,美国
920,"ONE, THE",宇宙追辑令,科幻,环绕声，多声道,1:23:45,2001,美国
921,Hugo,雨果,冒险,,2:00:00,2011,美国
922,Due Date,预产期,喜剧,立体声,1:33:36,2010,美国
923,Sex and the City,欲望都市,爱情,,2:00:00,2008,美国
924,Sex and the City 2,欲望都市2,爱情,,2:00:00,2010,美国
925,ALONG CAME POLLY,遇见波莉,喜剧,环绕声，多声道,1:26:13,2004,美国
926,MEETING EVIL (2012),遇见恶魔,罪案,环绕声，多声道,1:25:00,2012,美国
927,Gigli,鸾鸯绑匪,罪案,立体声,1:53:05,2003,美国
928,YEAR ONE,元年,喜剧,环绕声，多声道,1:35:32,2009,美国
929,Serendipity,缘分天注定,奇幻,,2:00:00,2001,美国
930,Going the Distance,远距离爱情,爱情,立体声,1:37:25,2010,美国
931,MOON,月球,科幻,环绕声，多声道,1:36:59,2009,美国
932,LORENZO'S OIL,再生之旅,剧情,立体声,2:07:01,1992,美国
933,DEATH AT A FUNERAL,葬礼上的死亡,喜剧,立体声,1:31:56,2010,美国
934,Jersey Girl,泽西女孩,剧情,,2:00:00,2004,美国
935,Right at Your Door,战栗城市,惊悚,,2:00:00,2007,美国
936,United 93,战栗航班93,罪案,环绕声，多声道,1:46:14,2006,美国
937,PANIC ROOM,战栗空间,惊悚,立体声,1:51:51,2002,美国
938,OUT OF SIGHT ('98),战略高手,剧情,环绕声，多声道,1:57:45,1998,美国
939,War Horse,战马,战争,,2:00:00,2011,美国
940,GROWN UPS,长大后,喜剧,立体声,1:12:10,2010,美国
941,CJ-7 2,长江7号爱地球,动画,立体声,1:22:38,2010,中国大陆
942,CJ7,长江七号,喜剧,立体声,1:27:51,2008,中国大陆
943,The Remains of the Day,长日留痕,剧情,立体声,2:05:35,1993,英国
944,OBSESSED (2009),着迷,剧情,环绕声，多声道,1:48:20,2009,美国
945,Vacancy 2: The First Cut,针孔旅馆2,恐怖,立体声,1:22:20,2009,美国
946,Pearl Harbor,珍珠港,战争,立体声,2:46:06,2001,美国
947,Tuck Everlasting,真爱无尽,奇幻,,2:00:00,2002,美国
948,INTOLERABLE CRUELTY,真情假爱,喜剧,立体声,1:32:58,2003,美国
949,Everything Is Illuminated,真相大白,罪案,,2:00:00,2005,加拿大/新西兰
950,Must Love Dogs,征婚广告,爱情,,2:00:00,2005,美国
951,DID YOU HEAR ABOUT THE MORGANS?,蒸发的摩根夫妇,喜剧,立体声,1:43:23,2009,美国
952,Eraser,蒸发密令,动作,立体声,1:54:34,1996,美国
953,HOP,拯救小兔,动画,环绕声，多声道,1:27:01,2011,美国
954,Justice League: Doom,正义联盟：判决,动画,环绕声，多声道,1:16:47,2012,美国
955,Justice League: Flashpoint Paradox,正义联盟：闪点行动,动画,环绕声，多声道,1:21:10,2013,美国
956,The Dukes of Hazzard,正义前锋,动作,,2:00:00,2005,美国
957,Witness,证人,惊悚,,2:00:00,1985,美国
958,Spider-Man,蜘蛛侠,科幻,立体声,1:51:35,2002,美国
959,Spider-Man 2,蜘蛛侠2,科幻,环绕声，多声道,1:58:21,2004,美国
960,SPIDER-MAN 3 (2007),蜘蛛侠3,科幻,立体声,2:19:05,2007,美国
961,TAKING WOODSTOCK,制造伍德斯托克音乐节,音乐,环绕声，多声道,1:52:18,2009,美国
962,IDENTITY,致命ID,悬疑,立体声,1:32:17,2003,美国
963,The Invasion,致命拜访,科幻,,2:00:00,2007,美国/澳大利亚
964,"TOURIST, THE",数命伴旅,动作,立体声,1:42:54,2010,美国
965,"Prestige, The",致命魔术,惊悚,立体声,2:04:54,2006,美国
966,The Devil's Own,敦命突击队,剧情,环绕声，多声道,1:51:07,1997,美国
967,Lethal Weapon 1,致命武器,动作,立体声,1:44:35,1987,美国
968,Lethal Weapon 2,致命武器2,动作,立体声,1:49:16,1989,美国
969,CRUEL INTENTIONS,致命性游戏,惊悚,立体声,1:37:24,1999,美国
970,ULTRAVIOLET,致命紫罗兰,科幻,立体声,1:25:02,2006,美国
971,CENTER STAGE,中央舞台,音乐,立体声,1:55:35,2000,美国
972,DONNIE BRASCO,忠奸人,罪案,立体声,1:59:05,1997,美国
973,MERCURY RISING,终极密码战,剧情,环绕声，多声道,1:46:45,1998,美国
974,TERMINATOR SALVATION,终结者2018,科幻,立体声,1:57:00,2009,美国
975,Terminator 3: Rise of the Machines,终结者3:机器的警觉,科幻,立体声,1:48:57,2003,美国
976,17 Again,重返17岁,爱情,,2:00:00,2009,美国
977,Rescue Dawn,重见天日,动作,立体声,2:03:07,2007,美国
978,REPO MEN,重生男人,动作,环绕声，多声道,1:46:13,2010,美国
979,GRIDIRON GANG (2006),重振球风,剧情,立体声,2:05:11,2006,美国
980,FRIDAY NIGHT LIGHTS,周末午夜光明,剧情,环绕声，多声道,1:52:38,2004,美国
981,JULIE & JULIA,朱莉与茱莉娅,剧情,环绕声，多声道,2:02:48,2009,美国
982,JURASSIC PARK,侏罗纪公园,科幻,环绕声，多声道,2:01:14,1993,美国
983,"LOST WORLD: JURASSIC PARK, THE",侏罗纪公园2:失落的世界,科幻,环绕声，多声道,2:03:20,1997,美国
984,JURASSIC PARK III,侏罗纪公园3,科幻,环绕声，多声道,1:28:22,2001,美国
985,Clash of the Titans,诸神之战,科幻,,2:00:00,2010,美国
986,Wrath of the Titans,诸神之战2:诸神之怒,奇幻,环绕声，多声道,1:32:43,2012,美国
987,ARMORED,装甲车,剧情,立体声,1:27:33,2009,美国
988,BRICK,追凶,悬疑,环绕声，多声道,1:45:21,2006,英国
989,"RUNDOWN, THE (2003)",追战时刻,动作,立体声,1:43:46,2003,美国
990,CATCH AND RELEASE,捉放爱,剧情,立体声,1:51:27,2006,美国
991,GHOSTBUSTERS,捉鬼敢死队,奇幻,立体声,1:45:09,1986,美国
992,GHOSTBUSTERS II,捉鬼敢死队2,奇幻,立体声,1:48:17,1989,美国
993,Pride and Glory,自豪与荣耀,罪案,,2:00:00,2008,美国
994,Freedom Writers,自由作家,罪案,,2:00:00,2007,德国/美国
995,ACROSS THE UNIVERSE,纵横宇宙,歌舞,立体声,2:11:47,2007,美国
996,OUT OF AFRICA,走出非洲,剧情,立体声,2:33:55,1985,美国
997,KICKING & SCREAMING,足球老爹,喜剧,环绕声，多声道,1:30:27,2005,美国
998,The Last Song,最后一支歌,爱情,,2:00:00,2010,美国
999,"LONGEST YARD, THE (2005)",最长的一码,运动,立体声,1:43:26,2005,美国
1000,FINAL FANTASY: THE SPIRITS WITHIN,最终幻想,动画,立体声,1:45:59,2001,美国
1001,FINAL FANTASY VII: ADVENT CHILDREN,最终幻想：降临之子,动画,立体声,1:40:58,2006,美国
1002,THE DEBT,罪孽,惊悚,环绕声，多声道,1:48:16,2010,美国
1003,"LEGEND OF ZORRO, THE (2005)",佐罗传奇,动作,环绕声，多声道,2:05:00,2005,美国
1004,Policeman,警察,剧情,立体声,1:37:57,2011,中东
1005,The Mole,鼹鼠,悬疑,立体声,1:41:24,2011,波兰
1006,Red Heart,红心,爱情,立体声,1:16:36,2011,中东
1007,Firaaq,追寻,悬疑,立体声,1:39:03,2008,印度
1008,Francaise,法兰西,剧情,立体声,1:20:23,2008,法国
1009,Oliver Sherman,殴立魏·赦曼,悬疑,立体声,1:18:09,2010,加拿大
1010,Dresden - The Inferno,轰炸德勒斯登,剧情,立体声,2:22:30,2006,德国
1011,Kokowaah,Kokowaah,喜剧,立体声,2:00:23,2011,德国
1012,Men In the City (II),都市男人心 2,喜剧,立体声,1:45:08,2012,德国
1013,The One I Love,我所爱的人,喜剧,立体声,1:35:40,2009,法国
1014,Make It Look Like An Accident,意外,喜剧,立体声,1:27:00,2008,西班牙
1015,Wrap Up,终结,爱情,立体声,1:25:30,2007,阿根廷
1016,A Ton Of Luck,时来运转,动作,立体声,1:33:01,2006,阿根廷
1017,The Longest Penalty Shot In The World,世界上耗时最长的点球,喜剧,立体声,1:36:06,2005,西班牙
1018,Hidden,隐匿,惊悚,立体声,1:53:46,2004,西班牙
