序号,英文名称,节目名称,类型,声道,节目时长,年代,国家
181,Mission: Impossible II,碟中谍2,动作,,2:00:00,2000,美国
182,Mission: Impossible III,碟中谍3,动作,,2:00:00,2006,美国
183,Mission: Impossible Ghost Protocol,碟中谍4,动作,,2:00:00,2011,美国
184,The Adventures of Tintin: The Secret of the Unicorn,丁丁历险记,动画,,2:00:00,2011,美国
185,East Wind Rain,东风雨,剧情,立体声,1:57:25,2010,中国大陆
186,"SOLOIST, THE",独奏者,剧情,环绕声，多声道,1:55:01,2008,美国
187,Go Lala Go!,杜拉拉升职记,爱情,立体声,1:45:16,2010,中国大陆
188,Duma,杜玛,家庭,,2:00:00,2005,美国
189,Gifted Hands: The Ben Carson Story,恩赐妙手,剧情,立体声,1:29:56,2009,美国
190,While You Were Sleeping,二见钟情,爱情,,2:00:00,1995,美国
191,"OTHER GUYS, THE",二流警探,动作,立体声,1:43:23,2010,美国
192,28 DAYS,二十八天,剧情,立体声,1:36:39,2000,美国
193,Hairspray,发胶明星梦,歌舞,,2:00:00,2007,美国
194,"INTERPRETER, THE",翻译风波,剧情,环绕声，多声道,2:03:02,2005,美国
195,DOUBLE TEAM,反击王,动作,立体声,1:27:42,1997,美国
196,S.W.A.T. (2003),反恐特警组,动作,立体声,1:57:06,2003,美国
197,S.W.A.T.: FIREFIGHT,反恐特警组：火速救援,动作,立体声,1:28:33,2011,美国
198,Rendition,反恐疑云,剧情,,2:00:00,2007,美国/南非
199,VAN HELSING,范海辛,惊悚,环绕声，多声道,2:06:03,2004,美国
200,Where the Heart Is,芳心何处,喜剧,,2:00:00,2000,美国
201,Firewall,防火墙,罪案,立体声,1:40:24,2006,美国
202,RV,房车之旅,喜剧,立体声,1:34:28,2006,美国
203,ONE NIGHT AT MCCOOL'S,放电无罪,喜剧,环绕声，多声道,1:28:53,2001,美国
204,Flubber,飞天法宝,奇幻,,2:00:00,1997,美国
205,DEATH BECOMES HER,飞越长生,奇幻,环绕声，多声道,1:39:00,1992,美国
206,The Usual Suspects,非常嫌疑犯,罪案,,2:00:00,1995,美国/德国
207,Spy Kids,非常小特务,动作,,2:00:00,2001,美国
